V1,V2
-555.887795177882,-221.297838822648
-323.812810298612,-35.6712798353619
24.7528484576206,-245.380363664625
-144.71198310578,-113.079736576329
362.095737648636,650.408663476859
-195.146122476031,-188.696185702017
109.961115583263,30.1782583285946
-208.328186670713,496.533409731895
-220.815187976387,-173.529242921651
92.1065965015204,218.654705387274
479.093291577813,284.089216788337
351.698404372296,153.576445176235
1092.34961059038,1112.77505779617
740.844345607781,347.923607872402
651.865313475734,461.583862229202
-509.523538951613,-327.529057128704
10.4085193172208,-63.0293746845022
-283.829713535457,-89.0989680220397
4.30642928116795,-12.9193601026676
-110.546836368544,-50.6422541502687
-354.618034725886,74.1450213071862
-22.9276963540191,14.2382289157975
-121.977415534834,235.583144857589
-100.345198358345,-136.757202794433
-470.921595189478,-1173.46001480127
-0.307413687009202,-247.762372164622
-113.17416213261,125.780171026231
71.4721791164215,21.2521719905427
563.900447678066,450.800024511004
601.439760402071,82.5050601477818
9.02724499719489,7.17138932729787
733.619184471665,245.954794135621
65.8066417570282,-18.3988914765565
151.672565352929,152.348438701511
149.369721291324,-88.3057043567555
899.975508903599,845.197880706729
649.895661735996,1163.61899347655
724.321122250489,401.03158741315
635.74236672972,611.54654874013
-183.307497938226,-102.934080260565
236.873760146103,679.236483021294
95.6986557765517,419.689189309612
121.612159656662,65.8020294854966
224.188191705256,210.932299040608
-99.892683795395,-225.741854846853
ts_yearly$ts
476579.69783968
474098.874990146
477216.856530515
475233.2594582
468766.103589393
465227.204058155
465703.06813079
468237.634988279
468151.880564674
467218.734286987
465332.442359145
466680.260163208
467008.047159038
466008.054529044
466078.60158282
468252.374150482
468706.135681677
468789.758099626
466962.766286435
463133.697833401
464631.794108871
465156.562006935
461386.748511948
460339.889112969
459365.174887541
458659.88323873
457014.288945772
454559.477296491
456644.563145697
454905.801456174
454997.035056307
457201.741170263
458905.164870604
462446.744924239
461154.617724567
459702.964881631
449077.022994027
456579.937727194
451380.126269461
451915.532403798
456461.150753245
457212.097907748
454366.610559497
455842.424110008
459630.198240571
462467.937069494
460694.132507818
457678.234124943
460311.119970333
459452.753650897
455213.099595024
459054.946865157
458056.394129434
454371.985589133
452435.130760312
452412.356036348
451660.237246866
454630.132941182
451226.992991276
454549.703348092
455549.230366451
455592.129649149
454746.47816877
454154.564261615
452264.575135982
448256.402542744
446649.683505807
449087.601210238
448766.580393695
446638.261214117
445780.259985739
446062.796685563
447817.064650638
443385.888760877
441967.294294293
440799.996063711
438212.197877249
443252.849921842
444706.141877925
443701.391325476
432175.335238047
430799.038296787
428543.103420697
434345.74799786
437730.501649019
436063.098307808
435346.703913973
439153.7565215
440342.454579335
440613.586017565
443279.345085699
445509.495677388
445734.755435254
440687.282481491
439952.383981116
442346.076952375
441571.361751489
443416.960549303
446445.218620566
445820.651880913
450347.803509891
455548.237613088
459198.021287474
456178.858780815
457667.575757389
461258.005422054
462281.296439488
462772.975522807
461622.407437027
462511.778276639
461886.076899465
461998.214657701
460422.386461674
461404.06300717
459175.293929774
459842.908119415
460090.086424993
462629.285318775
462741.66558791
460453.815428476
