V1,V2,V3,V4,V5,V6,V7
-11.8920862569335,-1573.14043122883,-554.789714492269,-401.164682378284,-265.222925051274,-682.410763042286,-140.109639840834
-291.201275945137,297.861632273344,-348.348313720922,-295.502754637672,-447.196576888009,-462.483313170276,100.466728256523
176.794349988479,72.1914054444542,22.6406705495563,85.5956659077093,277.895223622812,-302.304165440362,-29.9781633546773
-499.06957594043,-64.5837417451483,332.497028516819,-68.5727954006767,-437.992594186824,189.219497824766,71.3386470224214
104.271819796305,2807.413995361,578.104445771188,465.265112848454,2018.62538943092,2448.18986736686,897.628915099131
-301.298349774992,-761.419674380065,-273.320379808752,-188.790726227514,-107.42860514666,26.3857776330451,-297.179480197798
20.5929411922313,-211.386798633238,-0.173179709869342,-13.5799974467365,-32.2861013145228,-11.3791139078857,52.6907309722957
-5.6658126795358,-417.061428496653,-475.999877706762,3.15176276217719,-151.14720268946,307.820215819218,865.227926765221
-1565.49575596557,-497.648433452488,-380.5310145253,-76.4301697705907,-224.163824327181,-414.257682626645,-84.4202971690096
638.588493315574,118.340418772101,1109.39657811881,120.67223985231,422.567060077607,358.780391023787,-271.110116198224
100.339362742376,603.296692873765,112.78683003261,376.599527104496,494.999275170022,1324.58251701895,-266.892832964131
1165.43157898895,328.412382398164,6.07504809484907,367.828864100812,417.035082636106,-8.24830256598278,1031.30534162866
502.236991466995,551.088921660186,432.998301858954,-54.6904979612673,1232.89540467262,1946.54414479461,1000.72498774476
1366.39842695467,475.525062882671,408.555638633455,1788.60267711156,916.396047417323,-1085.66398199596,-516.291684756194
393.05170441035,491.849278599279,215.021053937751,134.482696353148,285.145082707053,1399.29225385503,-663.110575197293
-640.806713994327,-744.200400519215,-1050.18313705645,90.1013755211403,105.225941950287,-721.949993807481,-43.9150656028657
96.1155072434879,140.874181008129,-100.600114730712,-58.453383977045,-60.9150040694777,26.093344831473,-61.1305180060513
-146.255396064964,297.444691663362,649.488667906665,-113.372130028091,203.79125676839,-346.99574324005,-300.689101724957
24.6015373496743,11.7470087672801,-2.21681020590309,17.5830076226884,-6.65772516563076,-1.9359360541965,20.1464963178625
-244.993832247343,-134.347327988472,-218.810965480914,111.552528533773,-220.640434903796,6.24589949259313,-265.726091146741
-211.782410706837,-153.788466018679,19.0074906514732,-37.4310779361673,-82.5382564568742,-126.180257633533,4.42185884781337
